2		34		34		3		1.00
4		34		34		1		1.00
6		34		34		2		1.00
8		33		33		29		1.00
13		35		34		75		2.00
15		36		36		30		2.00
17		35		36		35		2.00
20		35		36		56		1.00
26		37		37		78		1.00
31		36		36		9		1.00
33		35		36		10		1.00
36		35		37		8		1.00
38		36		36		7		1.00
40		35		36		7		1.00
42		36		36		11		1.00
44		36		36		7		1.00
46		36		34		12		1.00
48		35		36		10		1.00
50		36		36		7		1.00
52		35		36		9		1.00
54		36		36		10		1.00
56		36		36		8		1.00
58		35		35		8		1.00
60		35		36		23		1.00
71		36		37		52		1.00
73		38		38		57		1.00
76		39		39		52		1.00
78		38		38		94		1.00
82		38		38		75		1.00
89		38		39		51		1.00
91		39		39		52		1.00
93		38		39		81		1.00
96		40		40		55		1.00
98		40		40		74		1.00
103		39		39		56		1.00
106		40		41		55		1.00
108		40		41		71		1.00
111		41		41		70		1.00
113		39		39		44		1.00
115		37		39		32		1.00
117		38		38		30		1.00
119		38		39		29		1.00
121		38		38		34		1.00
123		39		39		39		1.00
127		38		38		32		1.00
129		38		37		100		1.00
132		38		38		29		2.00
134		37		38		100		2.00
139		36		38		77		2.00
142		37		38		29		2.00
144		37		37		78		2.00
147		37		38		31		2.00
149		37		38		100		2.00
152		38		38		43		1.00
155		37		37		31		2.00
165		36		37		59		2.00
168		36		38		41		2.00
170		36		37		30		2.00
174		36		37		28		2.00
176		36		38		59		2.00
179		36		36		33		2.00
181		37		38		61		2.00
186		38		38		76		2.00
190		36		37		30		2.00
192		36		37		76		2.00
197		37		37		76		2.00
207		36		36		100		2.00
218		37		37		63		2.00
226		36		37		48		2.00
233		37		38		52		2.00
235		36		36		52		2.00
237		37		37		52		2.00
239		36		37		100		2.00
244		36		37		76		2.00
247		39		39		51		2.00
249		37		37		39		2.00
254		37		37		51		2.00
256		37		37		43		2.00
258		36		38		31		2.00
262		37		38		32		2.00
264		36		37		76		2.00
269		36		37		77		2.00
272		37		38		29		2.00
274		37		38		54		2.00
279		36		37		52		2.00
281		36		37		31		2.00
283		37		37		39		2.00
288		37		37		34		2.00
290		37		37		78		2.00
292		37		38		55		2.00
294		37		37		53		2.00
303		37		37		77		2.00
306		37		37		49		2.00
308		37		37		77		2.00
311		36		36		31		2.00
313		36		37		34		2.00
316		36		37		33		2.00
318		37		38		82		2.00
323		36		37		69		2.00
325		38		39		45		2.00
327		37		38		29		2.00
331		37		37		75		2.00
333		36		36		58		2.00
335		37		37		50		2.00
339		38		39		37		2.00
343		37		37		52		2.00
345		37		37		32		2.00
354		37		38		61		2.00
361		36		37		78		2.00
370		36		37		52		2.00
372		36		37		76		2.00
374		36		37		67		2.00
376		36		36		40		2.00
382		36		37		74		2.00
385		36		37		53		2.00
387		36		37		30		2.00
394		36		38		33		2.00
396		37		37		36		2.00
400		37		38		29		2.00
402		36		37		74		2.00
406		38		38		54		2.00
411		36		37		56		2.00
413		36		37		52		2.00
415		36		37		43		2.00
417		36		37		71		2.00
422		36		36		56		2.00
436		36		37		84		1.00
439		37		37		30		1.00
441		36		37		63		1.00
444		37		37		33		1.00
446		37		37		61		1.00
451		37		38		77		1.00
463		37		37		30		1.00
467		37		38		78		1.00
472		37		37		76		1.00
474		36		36		32		1.00
476		37		38		36		1.00
478		38		38		35		1.00
480		38		38		54		1.00
482		37		38		35		1.00
